Date	Price	Open	High	Low	Vol.	Change %
3-Sep	994	"1,008.25"	"1,041.75"	987.75	10.93M	-1.36%
3-Aug	"1,007.75"	988.75	"1,012.25"	958.25	10.85M	1.87%
3-Jul	989.25	972.75	"1,014.75"	960.25	14.85M	1.64%
3-Jun	973.25	963.75	"1,016.75"	963.5	10.35M	1.04%
3-May	963.25	915.5	966	900.5	12.83M	5.16%
3-Apr	916	844.5	923.75	843	13.51M	8.15%
3-Mar	847	844	888.5	788.5	9.69M	0.71%
3-Feb	841	854.75	864	805.25	12.62M	-1.61%
3-Jan	854.75	883	937	836	13.58M	-2.76%
2-Dec	879	934	955.25	868	6.65M	-6.09%
2-Nov	936	882	942.5	870.25	11.05M	5.70%
2-Oct	885.5	816.5	909.25	767.25	17.17M	8.65%
2-Sep	815	913.25	927.5	798.25	7.96M	-11.03%
2-Aug	916	909.25	966	828.5	11.20M	0.49%
2-Jul	911.5	989	996.25	771	14.28M	-7.93%
2-Jun	990	"1,066.25"	"1,071.00"	945.5	6.69M	-7.26%
2-May	"1,067.50"	"1,076.75"	"1,109.00"	"1,045.75"	7.56M	-0.91%
2-Apr	"1,077.25"	"1,145.25"	"1,150.00"	"1,063.50"	7.16M	-6.26%
2-Mar	"1,149.25"	"1,106.25"	"1,177.50"	"1,106.00"	3.75M	3.82%
2-Feb	"1,107.00"	"1,128.75"	"1,132.25"	"1,073.75"	5.34M	-2.07%
2-Jan	"1,130.40"	"1,143.75"	"1,178.50"	"1,080.75"	4.93M	-1.64%
1-Dec	"1,149.20"	"1,137.25"	"1,175.25"	"1,114.25"	2.02M	0.81%
1-Nov	"1,140.00"	"1,057.50"	"1,164.75"	"1,053.25"	4.26M	7.47%
1-Oct	"1,060.75"	"1,044.25"	"1,114.50"	"1,028.75"	5.30M	1.63%
1-Sep	"1,043.75"	"1,137.50"	"1,158.50"	939	2.50M	-8.04%
1-Aug	"1,135.00"	"1,214.00"	"1,234.25"	"1,125.50"	3.48M	-6.60%
1-Jul	"1,215.25"	"1,233.50"	"1,248.25"	"1,168.50"	2.92M	-1.34%
1-Jun	"1,231.75"	"1,255.75"	"1,288.50"	"1,204.25"	1.98M	-2.05%
1-May	"1,257.50"	"1,253.25"	"1,319.25"	"1,235.00"	2.93M	0.26%
1-Apr	"1,254.25"	"1,173.00"	"1,325.00"	"1,098.50"	3.07M	7.27%
1-Mar	"1,169.25"	"1,239.25"	"1,270.50"	"1,088.00"	2.17M	-5.86%
1-Feb	"1,242.00"	"1,373.50"	"1,386.00"	"1,217.00"	2.23M	-9.54%
1-Jan	"1,373.00"	"1,331.00"	"1,394.00"	"1,287.50"	2.23M	2.85%
Dec-00	"1,335.00"	"1,321.50"	"1,392.00"	"1,270.25"	1.08M	1.02%
Nov-00	"1,321.50"	"1,441.00"	"1,455.00"	"1,296.75"	1.84M	-8.25%
Oct-00	"1,440.25"	"1,453.75"	"1,474.00"	"1,324.00"	2.11M	-0.93%
Sep-00	"1,453.75"	"1,522.75"	"1,557.50"	"1,436.75"	1.18M	-4.44%
Aug-00	"1,521.25"	"1,439.50"	"1,530.00"	"1,433.25"	1.44M	5.72%
Jul-00	"1,439.00"	"1,472.25"	"1,533.00"	"1,423.50"	1.40M	-1.98%
Jun-00	"1,468.00"	"1,422.00"	"1,514.25"	"1,420.25"	1.06M	3.22%
May-00	"1,422.25"	"1,459.00"	"1,492.75"	"1,365.50"	1.72M	-2.59%
Apr-00	"1,460.00"	"1,514.00"	"1,544.75"	"1,342.25"	1.46M	-3.65%
Mar-00	"1,515.25"	"1,372.25"	"1,574.25"	"1,348.50"	1.05M	10.44%
Feb-00	"1,372.00"	"1,402.75"	"1,454.75"	"1,327.50"	1.39M	-2.07%
Jan-00	"1,401.00"	"1,489.00"	"1,496.00"	"1,357.00"	1.31M	-5.61%
Dec-99	"1,484.25"	"1,391.50"	"1,499.50"	"1,386.25"	585.39K	6.67%
Nov-99	"1,391.50"	"1,375.00"	"1,432.50"	"1,352.00"	1.07M	1.11%
Oct-99	"1,376.25"	"1,297.00"	"1,383.00"	"1,241.50"	1.24M	6.01%
Sep-99	"1,298.20"	"1,320.00"	"1,365.50"	"1,267.50"	788.71K	-1.64%
Aug-99	"1,319.80"	"1,332.50"	"1,387.75"	"1,271.00"	1.06M	-0.90%
Jul-99	"1,331.80"	"1,381.75"	"1,431.75"	"1,331.00"	863.39K	-3.61%
Jun-99	"1,381.70"	"1,298.75"	"1,386.50"	"1,278.00"	589.76K	7.44%
May-99	"1,286.00"	"1,338.50"	"1,382.00"	"1,278.00"	841.45K	-4.56%
Apr-99	"1,347.50"	"1,292.75"	"1,380.75"	"1,290.75"	803.88K	4.19%
Mar-99	"1,293.25"	"1,236.50"	"1,338.00"	"1,216.75"	598.89K	4.67%
Feb-99	"1,235.50"	"1,280.75"	"1,290.75"	"1,215.25"	649.77K	-3.59%
Jan-99	"1,281.50"	"1,243.25"	"1,294.25"	"1,203.50"	602.58K	2.89%
Dec-98	"1,245.50"	"1,162.75"	"1,256.75"	"1,135.50"	320.81K	7.14%
Nov-98	"1,162.50"	"1,105.00"	"1,198.00"	"1,101.75"	429.52K	5.18%
Oct-98	"1,105.20"	"1,026.50"	"1,110.25"	929.25	518.34K	7.72%
Sep-98	"1,026.00"	951.75	"1,080.75"	935	292.02K	7.10%
Aug-98	958	"1,122.25"	"1,128.25"	952	455.15K	-16.40%
Jul-98	"1,146.00"	"1,143.00"	"1,199.75"	"1,116.25"	379.68K	0.26%
Jun-98	"1,143.00"	"1,090.00"	"1,158.00"	"1,071.50"	248.92K	4.79%
May-98	"1,090.75"	"1,119.25"	"1,137.00"	"1,075.00"	289.37K	-2.55%
Apr-98	"1,119.25"	"1,109.75"	"1,142.50"	"1,081.50"	297.79K	0.79%
Mar-98	"1,110.50"	"1,049.25"	"1,125.25"	"1,032.00"	212.70K	5.71%
Feb-98	"1,050.50"	988	"1,055.00"	987.75	217.97K	6.35%
Jan-98	987.75	979.25	999	914.5	268.74K	0.87%
Dec-97	979.25	955.5	989.75	935	153.86K	2.54%
Nov-97	955	923.75	971	902.5	192.55K	3.35%
Oct-97	924	955.5	992.25	844	281.21K	-3.20%
